,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,48.57,48.6,48.45,48.5,"1,830,504",-0.002057613168724326
1,04/20/2023,48.53,48.61,48.52,48.6,"1,565,749",0.003510220937435582
2,04/19/2023,48.48,48.48,48.37,48.43,"1,944,573",-0.0012373685295937742
3,04/18/2023,48.49,48.57,48.48,48.49,"2,120,219",0.0012389015073301923
4,04/17/2023,48.44,48.46,48.39,48.43,"2,108,043",-0.0024716786817713388
5,04/14/2023,48.6,48.63,48.49,48.55,"2,033,831",-0.004510969858519731
6,04/13/2023,48.84,48.87,48.74,48.77,"2,452,046",-0.00020500205002049743
7,04/12/2023,48.85,48.87,48.68,48.78,"2,177,190",0.00020504408447807876
8,04/11/2023,48.79,48.8,48.73,48.77,"2,427,140",-0.0012287528158917427
9,04/10/2023,48.83,48.87,48.78,48.83,"3,035,529",-0.0036727198530912553
10,04/06/2023,49.04,49.08,49.01,49.01,"3,818,848",-0.0008154943934760572
11,04/05/2023,49.0,49.13,49.0,49.05,"2,130,897",0.002042900919305257
12,04/04/2023,48.68,48.96,48.68,48.95,"2,643,748",0.0004087471898630568
13,04/03/2023,48.75,48.93,48.72,48.93,"4,545,920",0.00020441537203597093
14,03/31/2023,48.78,48.94,48.76,48.92,"1,726,173",0.002664480426316951
15,03/30/2023,48.71,48.8,48.7,48.79,"2,092,153",-0.0010237510237510739
16,03/29/2023,48.81,48.9,48.79,48.84,"2,450,219",-0.0004093327875561714
17,03/28/2023,48.9,48.92,48.83,48.86,"1,435,504",-0.000613622417672377
18,03/27/2023,48.92,49.05,48.89,48.89,"2,016,429",-0.0069063579118422425
19,03/24/2023,49.35,49.4,49.21,49.23,"1,721,010",0.00020316944331577602
20,03/23/2023,48.98,49.23,48.95,49.22,"1,693,482",0.00572129137719668
21,03/22/2023,48.6,48.98,48.59,48.94,"1,816,270",0.0026633886498668158
22,03/21/2023,48.87,48.94,48.77,48.81,"1,794,057",-0.004892966360856121
23,03/20/2023,49.14,49.14,49.01,49.05,"3,192,525",-0.0008148299042576301
24,03/17/2023,48.92,49.2,48.92,49.09,"1,755,183",0.0071809601969634596
25,03/16/2023,49.01,49.12,48.69,48.74,"1,629,024",-0.0048999591670068066
26,03/15/2023,49.17,49.25,48.93,48.98,"3,185,609",0.007197203372403704
27,03/14/2023,48.78,48.78,48.54,48.63,"1,962,108",-0.005928045789043268
28,03/13/2023,48.91,49.04,48.79,48.92,"2,138,127",0.012836438923395477
29,03/10/2023,48.27,48.36,48.17,48.3,"1,975,596",0.009826468743466377
30,03/09/2023,47.75,47.87,47.74,47.83,"1,874,032",0.0010464629552113802
31,03/08/2023,47.78,47.88,47.75,47.78,"1,692,012",0.0016771488469602414
32,03/07/2023,47.75,47.82,47.61,47.7,"1,961,241",0.0010493179433368471
33,03/06/2023,47.73,47.75,47.64,47.65,"2,208,946",-0.00041955108034408273
34,03/03/2023,47.6,47.68,47.53,47.67,"1,784,218",0.0031565656565655242
35,03/02/2023,47.5,47.53,47.46,47.52,"1,875,797",-0.0004206983592762725
36,03/01/2023,47.64,47.69,47.53,47.54,"2,492,537",-0.004606365159128933
37,02/28/2023,47.62,47.79,47.59,47.76,"2,987,307",-0.0004185851820845965
38,02/27/2023,47.81,47.83,47.65,47.78,"5,287,869",-0.002296930465650382
39,02/24/2023,47.84,47.9,47.8,47.89,"2,472,848",-0.0031223980016652497
40,02/23/2023,47.93,48.06,47.91,48.04,"2,938,329",0.003341687552213868
41,02/22/2023,47.88,47.95,47.87,47.88,"1,890,634",0.0014641288433381305
42,02/21/2023,47.93,47.93,47.81,47.81,"3,389,725",-0.008091286307053913
43,02/17/2023,48.08,48.21,48.08,48.2,"2,001,098",0.0020790020790020236
44,02/16/2023,48.11,48.17,48.04,48.1,"2,914,786",-0.0020746887966804906
45,02/15/2023,48.21,48.27,48.15,48.2,"4,142,071",-0.00186373990474209
46,02/14/2023,48.3,48.4,48.23,48.29,"10,493,100",-0.0028907701837703748
47,02/13/2023,48.35,48.43,48.35,48.43,"1,974,838",0.001654601861426963
48,02/10/2023,48.44,48.46,48.32,48.35,"2,080,599",-0.0024757582009490298
49,02/09/2023,48.64,48.67,48.43,48.47,"1,585,882",-0.0018533772652389313
50,02/08/2023,48.48,48.56,48.42,48.56,"1,889,092",0.0020635575732563805
51,02/07/2023,48.5,48.58,48.42,48.46,"2,014,059",-0.002470152326060071
52,02/06/2023,48.57,48.63,48.56,48.58,"2,485,672",-0.00410004100041006
53,02/03/2023,48.82,48.89,48.75,48.78,"2,999,456",-0.006314931757995579
54,02/02/2023,49.0,49.17,48.98,49.09,"2,749,819",0.009251644736842257
55,02/01/2023,48.56,48.65,48.47,48.64,"2,698,190",0.0018537590113285596
56,01/31/2023,48.51,48.55,48.41,48.55,"4,310,830",0.002891964470150832
57,01/30/2023,48.44,48.5,48.4,48.41,"3,054,183",-0.004114379757251707
58,01/27/2023,48.51,48.61,48.49,48.61,"2,038,440",-0.0020529665366454397
59,01/26/2023,48.77,48.79,48.67,48.71,"2,173,686",-0.0026617526617527254
60,01/25/2023,48.85,48.92,48.76,48.84,"2,071,849",0.0008196721311477528
61,01/24/2023,48.68,48.83,48.63,48.8,"2,067,944",0.0043218769294091075
